,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0010332999991078395,2.0,10.0,True,10,0.05,5000
1,1,0.20418609999978798,3.0,22.0,True,10,0.05,5000
2,2,0.43130179999934626,3.0,33.0,True,10,0.05,5000
3,3,0.6670197999992524,3.0,44.0,True,10,0.05,5000
4,4,0.9240943000004336,3.0,55.0,True,10,0.05,5000
5,5,1.2144565999988117,3.0,66.0,True,10,0.05,5000
6,6,1.4489069999981439,3.0,77.0,True,10,0.05,5000
7,7,1.6843795999993745,3.0,88.0,True,10,0.05,5000
8,8,1.9284640999976546,3.0,99.0,True,10,0.05,5000
9,9,2.1713667000003625,3.0,110.0,True,10,0.05,5000
10,10,2.415800399998261,3.0,121.0,True,10,0.05,5000
11,11,2.671295899999677,3.0,132.0,True,10,0.05,5000
12,12,2.911180399998557,3.0,143.0,True,10,0.05,5000
13,13,3.1454543999971065,3.0,154.0,True,10,0.05,5000
14,14,3.3844539999990957,3.0,165.0,True,10,0.05,5000
15,15,3.618324200000643,3.0,176.0,True,10,0.05,5000
16,16,3.8515334999974584,3.0,187.0,True,10,0.05,5000
17,17,4.083696099998633,3.0,198.0,True,10,0.05,5000
18,18,4.313767999999982,3.0,209.0,True,10,0.05,5000
19,19,4.545432700000674,3.0,220.0,True,10,0.05,5000
20,20,4.775890699998854,3.0,231.0,True,10,0.05,5000
21,21,5.003842899997835,3.0,242.0,True,10,0.05,5000
22,22,5.230982699999004,3.0,253.0,True,10,0.05,5000
23,23,5.459037900000112,3.0,264.0,True,10,0.05,5000
24,24,5.691326399999525,3.0,275.0,True,10,0.05,5000
25,25,5.91967079999813,3.0,286.0,True,10,0.05,5000
26,26,6.150090799997997,3.0,297.0,True,10,0.05,5000
27,27,6.380126599997311,3.0,308.0,True,10,0.05,5000
28,28,6.611990199999127,3.0,319.0,True,10,0.05,5000
29,29,6.843481500000053,3.0,330.0,True,10,0.05,5000
30,30,7.077390899998136,3.0,341.0,True,10,0.05,5000
31,31,7.306542700000136,3.0,352.0,True,10,0.05,5000
32,32,7.531828299997869,3.0,363.0,True,10,0.05,5000
33,33,7.760875099997065,3.0,374.0,True,10,0.05,5000
34,34,7.999182999999903,3.0,385.0,True,10,0.05,5000
35,35,8.229298399997788,3.0,396.0,True,10,0.05,5000
36,36,8.462360199999239,3.0,407.0,True,10,0.05,5000
37,37,8.69546409999748,3.0,418.0,True,10,0.05,5000
38,38,8.927804499999183,3.0,429.0,True,10,0.05,5000
39,39,9.157660799999576,3.0,440.0,True,10,0.05,5000
40,40,9.388536399997975,3.0,451.0,True,10,0.05,5000
41,41,9.617763999998715,3.0,462.0,True,10,0.05,5000
42,42,9.84707509999862,3.0,473.0,True,10,0.05,5000
43,43,10.085690100000647,3.0,484.0,True,10,0.05,5000
44,44,10.313618399999541,3.0,495.0,True,10,0.05,5000
45,45,10.548978999999235,3.0,506.0,True,10,0.05,5000
46,46,10.779689799997868,3.0,517.0,True,10,0.05,5000
47,47,11.012477399999625,3.0,528.0,True,10,0.05,5000
48,48,11.244817599999806,3.0,539.0,True,10,0.05,5000
49,49,11.473360699998011,3.0,550.0,True,10,0.05,5000
50,50,11.700944799998979,3.0,561.0,True,10,0.05,5000
51,51,11.947120099997846,3.0,572.0,True,10,0.05,5000
52,52,12.17852270000003,3.0,583.0,True,10,0.05,5000
53,53,12.413691899997502,3.0,594.0,True,10,0.05,5000
54,54,12.654299599998922,3.0,605.0,True,10,0.05,5000
55,55,12.900805299999774,3.0,616.0,True,10,0.05,5000
56,56,13.133964599997853,3.0,627.0,True,10,0.05,5000
57,57,13.365604899998289,3.0,638.0,True,10,0.05,5000
58,58,13.597949200000585,3.0,649.0,True,10,0.05,5000
59,59,13.83282010000039,3.0,660.0,True,10,0.05,5000
60,60,14.064825299999939,3.0,671.0,True,10,0.05,5000
61,61,14.317210599998361,3.0,682.0,True,10,0.05,5000
62,62,14.595745200000238,3.0,693.0,True,10,0.05,5000
63,63,14.836624699997628,3.0,704.0,True,10,0.05,5000
64,64,15.067596900000353,3.0,715.0,True,10,0.05,5000
65,65,15.301829099997121,3.0,726.0,True,10,0.05,5000
66,66,15.560790499999712,3.0,737.0,True,10,0.05,5000
67,67,15.80246509999779,3.0,748.0,True,10,0.05,5000
