,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,0.0,0,0.0002372000000150365,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.01,0.99,0.001,0.009999976160631769,0.01,5000,
1,10,0.0,20,0.00756610000001956,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009999239610450066,0.01,5000,
2,50,67.0,62,0.015821299999970506,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009998410032626826,0.01,5000,
3,250,67.0,235,0.04014949999998407,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009995965654422654,0.01,5000,
4,500,67.0,235,0.04014949999998407,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009995965654422654,0.01,5000,
5,1000,67.0,235,0.04014949999998407,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009995965654422654,0.01,5000,
6,5000,67.0,235,0.04014949999998407,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.01,0.99,0.001,0.009995965654422654,0.01,5000,
7,0,0.0,0,0.00013769999998203275,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,0.01,,0.001,0.009999993115002371,0.01,5000,0.005
8,10,0.0,20,0.009647099999995135,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009999517656633131,0.01,5000,0.005
9,50,67.0,62,0.020853699999975106,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009998957369357712,0.01,5000,0.005
10,250,67.0,235,0.06459099999995033,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009996770971443527,0.01,5000,0.005
11,500,67.0,235,0.06459099999995033,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009996770971443527,0.01,5000,0.005
12,1000,67.0,235,0.06459099999995033,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009996770971443527,0.01,5000,0.005
13,5000,67.0,235,0.06459099999995033,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.01,,0.001,0.009996770971443527,0.01,5000,0.005
14,0,0.0,0,0.00011549999999260763,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,0.01,0.0001,0.001,0.00999998845,0.01,5000,
15,10,0.0,20,0.008456899999998768,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009999154310000001,0.01,5000,
16,50,67.0,62,0.01871040000003177,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009998128959999996,0.01,5000,
17,250,67.0,235,0.04601430000002438,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009995398569999998,0.01,5000,
18,500,67.0,235,0.04601430000002438,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009995398569999998,0.01,5000,
19,1000,67.0,235,0.04601430000002438,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009995398569999998,0.01,5000,
20,5000,67.0,235,0.04601430000002438,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009995398569999998,0.01,5000,
21,0,0.0,0,0.00012289999995118706,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.0999998764814487,0.1,5000,
22,10,0.0,20,0.00997300000000223,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.0999899773023592,0.1,5000,
23,50,67.0,62,0.021107400000005327,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09997878860403535,0.1,5000,
