,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0006711000000052536,0.0,10.0,True,10,0.05,5000
1,1,0.01431039999999939,66.0,22.0,True,10,0.05,5000
2,2,0.019983999999993785,66.0,33.0,True,10,0.05,5000
3,3,0.025772399999993922,66.0,44.0,True,10,0.05,5000
4,4,0.03209879999999998,66.0,55.0,True,10,0.05,5000
5,5,0.03792709999999033,66.0,66.0,True,10,0.05,5000
6,6,0.044338600000003225,66.0,77.0,True,10,0.05,5000
7,7,0.05051399999999262,66.0,88.0,True,10,0.05,5000
8,8,0.05591369999999074,66.0,99.0,True,10,0.05,5000
9,9,0.062145299999997405,66.0,110.0,True,10,0.05,5000
10,10,0.06802769999998759,66.0,121.0,True,10,0.05,5000
11,11,0.0790202000000022,66.0,132.0,True,10,0.05,5000
12,12,0.08429609999998888,66.0,143.0,True,10,0.05,5000
13,13,0.08954860000000053,66.0,154.0,True,10,0.05,5000
14,14,0.09515899999999533,66.0,165.0,True,10,0.05,5000
15,15,0.10035830000001056,66.0,176.0,True,10,0.05,5000
16,16,0.10560509999999113,66.0,187.0,True,10,0.05,5000
17,17,0.11085570000000189,66.0,198.0,True,10,0.05,5000
18,18,0.11616770000000542,66.0,209.0,True,10,0.05,5000
19,19,0.12177199999999289,66.0,220.0,True,10,0.05,5000
20,20,0.1275536999999929,66.0,231.0,True,10,0.05,5000
21,21,0.13279399999998986,66.0,242.0,True,10,0.05,5000
22,22,0.13820309999999836,66.0,253.0,True,10,0.05,5000
23,23,0.1435625000000016,66.0,264.0,True,10,0.05,5000
24,24,0.14887410000000045,66.0,275.0,True,10,0.05,5000
25,25,0.15442809999998985,66.0,286.0,True,10,0.05,5000
26,26,0.15967390000000137,66.0,297.0,True,10,0.05,5000
27,27,0.1649385000000052,66.0,308.0,True,10,0.05,5000
28,28,0.17104599999998982,66.0,319.0,True,10,0.05,5000
29,29,0.17640839999998548,66.0,330.0,True,10,0.05,5000
30,30,0.1817792999999881,66.0,341.0,True,10,0.05,5000
31,31,0.1893758999999875,66.0,352.0,True,10,0.05,5000
32,32,0.19474349999998708,66.0,363.0,True,10,0.05,5000
33,33,0.20003869999999324,66.0,374.0,True,10,0.05,5000
34,34,0.20538339999998811,66.0,385.0,True,10,0.05,5000
35,35,0.21071889999998916,66.0,396.0,True,10,0.05,5000
36,36,0.216464000000002,66.0,407.0,True,10,0.05,5000
37,37,0.22167870000001244,66.0,418.0,True,10,0.05,5000
38,38,0.22684789999999566,66.0,429.0,True,10,0.05,5000
39,39,0.2323030000000017,66.0,440.0,True,10,0.05,5000
40,40,0.2375921999999946,66.0,451.0,True,10,0.05,5000
41,41,0.24294040000000905,66.0,462.0,True,10,0.05,5000
42,42,0.2486705000000029,66.0,473.0,True,10,0.05,5000
43,43,0.2539700000000096,66.0,484.0,True,10,0.05,5000
44,44,0.2593214000000046,66.0,495.0,True,10,0.05,5000
45,45,0.2650288000000103,66.0,506.0,True,10,0.05,5000
46,46,0.2704789999999946,66.0,517.0,True,10,0.05,5000
47,47,0.2758278999999959,66.0,528.0,True,10,0.05,5000
48,48,0.28169439999999213,66.0,539.0,True,10,0.05,5000
49,49,0.28696859999999447,66.0,550.0,True,10,0.05,5000
50,50,0.29255989999998633,66.0,561.0,True,10,0.05,5000
51,51,0.3034817999999859,66.0,572.0,True,10,0.05,5000
52,52,0.30911259999999174,66.0,583.0,True,10,0.05,5000
53,53,0.31460119999999847,66.0,594.0,True,10,0.05,5000
54,54,0.3200358999999935,66.0,605.0,True,10,0.05,5000
55,55,0.3280761000000041,66.0,616.0,True,10,0.05,5000
56,56,0.33457540000000563,66.0,627.0,True,10,0.05,5000
57,57,0.34018409999998767,66.0,638.0,True,10,0.05,5000
58,58,0.34566639999999893,66.0,649.0,True,10,0.05,5000
59,59,0.3512471999999889,66.0,660.0,True,10,0.05,5000
60,60,0.3565654999999879,66.0,671.0,True,10,0.05,5000
61,61,0.3619493999999861,66.0,682.0,True,10,0.05,5000
62,62,0.3673316,66.0,693.0,True,10,0.05,5000
63,63,0.37285760000000323,66.0,704.0,True,10,0.05,5000
64,64,0.37809530000001246,66.0,715.0,True,10,0.05,5000
65,65,0.38334240000000364,66.0,726.0,True,10,0.05,5000
66,66,0.38875329999999053,66.0,737.0,True,10,0.05,5000
67,67,0.3950681999999972,66.0,748.0,True,10,0.05,5000
68,68,0.40081749999998806,66.0,759.0,True,10,0.05,5000
69,69,0.4065757999999846,66.0,770.0,True,10,0.05,5000
70,70,0.41240450000000806,66.0,781.0,True,10,0.05,5000
71,71,0.4184406999999908,66.0,792.0,True,10,0.05,5000
72,72,0.42445240000000695,66.0,803.0,True,10,0.05,5000
73,73,0.4299528999999893,66.0,814.0,True,10,0.05,5000
74,74,0.43524779999998486,66.0,825.0,True,10,0.05,5000
75,75,0.4404888999999912,66.0,836.0,True,10,0.05,5000
76,76,0.4458174000000099,66.0,847.0,True,10,0.05,5000
77,77,0.4522642000000019,66.0,858.0,True,10,0.05,5000
78,78,0.45763809999999694,66.0,869.0,True,10,0.05,5000
79,79,0.4631076999999948,66.0,880.0,True,10,0.05,5000
80,80,0.46859660000001213,66.0,891.0,True,10,0.05,5000
81,81,0.47371469999998794,66.0,902.0,True,10,0.05,5000
82,82,0.47951630000000023,66.0,913.0,True,10,0.05,5000
83,83,0.484871499999997,66.0,924.0,True,10,0.05,5000
84,84,0.49005840000000944,66.0,935.0,True,10,0.05,5000
85,85,0.4962984000000006,66.0,946.0,True,10,0.05,5000
86,86,0.5021583999999848,66.0,957.0,True,10,0.05,5000
87,87,0.5073969999999974,66.0,968.0,True,10,0.05,5000
88,88,0.512991999999997,66.0,979.0,True,10,0.05,5000
89,89,0.5181977000000018,66.0,990.0,True,10,0.05,5000
90,90,0.5233911999999918,66.0,1001.0,True,10,0.05,5000
91,91,0.531446499999987,66.0,1012.0,True,10,0.05,5000
92,92,0.5483586999999943,66.0,1023.0,True,10,0.05,5000
93,93,0.5555685999999866,66.0,1034.0,True,10,0.05,5000
94,94,0.5618012999999848,66.0,1045.0,True,10,0.05,5000
95,95,0.5674784999999929,66.0,1056.0,True,10,0.05,5000
96,96,0.5731930999999975,66.0,1067.0,True,10,0.05,5000
97,97,0.5787932000000069,66.0,1078.0,True,10,0.05,5000
98,98,0.5839070000000106,66.0,1089.0,True,10,0.05,5000
99,99,0.5890047000000038,66.0,1100.0,True,10,0.05,5000
100,100,0.5947615000000042,66.0,1111.0,True,10,0.05,5000
101,101,0.6001760000000047,66.0,1122.0,True,10,0.05,5000
102,102,0.6061684999999954,66.0,1133.0,True,10,0.05,5000
103,103,0.6114728999999954,66.0,1144.0,True,10,0.05,5000
104,104,0.6165469999999971,66.0,1155.0,True,10,0.05,5000
105,105,0.6220250000000078,66.0,1166.0,True,10,0.05,5000
106,106,0.6272222000000056,66.0,1177.0,True,10,0.05,5000
107,107,0.6323605999999984,66.0,1188.0,True,10,0.05,5000
108,108,0.6376325999999892,66.0,1199.0,True,10,0.05,5000
109,109,0.6427820000000111,66.0,1210.0,True,10,0.05,5000
110,110,0.6478885999999875,66.0,1221.0,True,10,0.05,5000
111,111,0.6535684000000117,66.0,1232.0,True,10,0.05,5000
112,112,0.6587139000000093,66.0,1243.0,True,10,0.05,5000
113,113,0.6638389999999958,66.0,1254.0,True,10,0.05,5000
114,114,0.6691998999999953,66.0,1265.0,True,10,0.05,5000
115,115,0.6743410999999924,66.0,1276.0,True,10,0.05,5000
116,116,0.6793959000000029,66.0,1287.0,True,10,0.05,5000
117,117,0.684927899999991,66.0,1298.0,True,10,0.05,5000
118,118,0.6899773000000096,66.0,1309.0,True,10,0.05,5000
119,119,0.6949593999999877,66.0,1320.0,True,10,0.05,5000
120,120,0.7000209999999925,66.0,1331.0,True,10,0.05,5000
121,121,0.705003099999999,66.0,1342.0,True,10,0.05,5000
122,122,0.7099722000000099,66.0,1353.0,True,10,0.05,5000
123,123,0.7155493999999862,66.0,1364.0,True,10,0.05,5000
124,124,0.7205658000000028,66.0,1375.0,True,10,0.05,5000
125,125,0.7255463999999847,66.0,1386.0,True,10,0.05,5000
126,126,0.7305996999999991,66.0,1397.0,True,10,0.05,5000
127,127,0.7356505999999854,66.0,1408.0,True,10,0.05,5000
128,128,0.7406311999999957,66.0,1419.0,True,10,0.05,5000
129,129,0.7457015999999896,66.0,1430.0,True,10,0.05,5000
130,130,0.7508759000000111,66.0,1441.0,True,10,0.05,5000
131,131,0.7558720000000108,66.0,1452.0,True,10,0.05,5000
132,132,0.7608634999999992,66.0,1463.0,True,10,0.05,5000
133,133,0.7666460000000086,66.0,1474.0,True,10,0.05,5000
134,134,0.7716364999999996,66.0,1485.0,True,10,0.05,5000
135,135,0.7766235999999935,66.0,1496.0,True,10,0.05,5000
136,136,0.7817777999999862,66.0,1507.0,True,10,0.05,5000
137,137,0.7867822999999987,66.0,1518.0,True,10,0.05,5000
138,138,0.7917670999999871,66.0,1529.0,True,10,0.05,5000
139,139,0.7987251000000128,66.0,1540.0,True,10,0.05,5000
140,140,0.8044901000000095,66.0,1551.0,True,10,0.05,5000
141,141,0.8105756999999869,66.0,1562.0,True,10,0.05,5000
142,142,0.8158582000000081,66.0,1573.0,True,10,0.05,5000
143,143,0.8209493999999893,66.0,1584.0,True,10,0.05,5000
144,144,0.8263795999999957,66.0,1595.0,True,10,0.05,5000
145,145,0.8314801999999872,66.0,1606.0,True,10,0.05,5000
146,146,0.836534400000005,66.0,1617.0,True,10,0.05,5000
147,147,0.8418000000000063,66.0,1628.0,True,10,0.05,5000
148,148,0.8472247999999922,66.0,1639.0,True,10,0.05,5000
149,149,0.8523568999999895,66.0,1650.0,True,10,0.05,5000
150,150,0.8577915999999846,66.0,1661.0,True,10,0.05,5000
151,151,0.8629285000000095,66.0,1672.0,True,10,0.05,5000
152,152,0.8680281000000036,66.0,1683.0,True,10,0.05,5000
153,153,0.8734177999999986,66.0,1694.0,True,10,0.05,5000
154,154,0.8785273000000018,66.0,1705.0,True,10,0.05,5000
155,155,0.8836488999999972,66.0,1716.0,True,10,0.05,5000
156,156,0.8893648000000098,66.0,1727.0,True,10,0.05,5000
157,157,0.8946316999999908,66.0,1738.0,True,10,0.05,5000
158,158,0.8997105999999917,66.0,1749.0,True,10,0.05,5000
159,159,0.9052728000000059,66.0,1760.0,True,10,0.05,5000
160,160,0.9104776000000072,66.0,1771.0,True,10,0.05,5000
161,161,0.9155034999999998,66.0,1782.0,True,10,0.05,5000
162,162,0.9211625000000083,66.0,1793.0,True,10,0.05,5000
163,163,0.9266173999999978,66.0,1804.0,True,10,0.05,5000
164,164,0.9316177999999979,66.0,1815.0,True,10,0.05,5000
165,165,0.9369887999999946,66.0,1826.0,True,10,0.05,5000
166,166,0.9420675000000074,66.0,1837.0,True,10,0.05,5000
167,167,0.947143699999998,66.0,1848.0,True,10,0.05,5000
168,168,0.9524558999999897,66.0,1859.0,True,10,0.05,5000
169,169,0.9574982000000034,66.0,1870.0,True,10,0.05,5000
170,170,0.9625490999999897,66.0,1881.0,True,10,0.05,5000
171,171,0.9688054000000079,66.0,1892.0,True,10,0.05,5000
172,172,0.9785693999999978,66.0,1903.0,True,10,0.05,5000
173,173,0.9854575999999895,66.0,1914.0,True,10,0.05,5000
174,174,0.9909983000000011,66.0,1925.0,True,10,0.05,5000
175,175,1.0002086000000077,66.0,1936.0,True,10,0.05,5000
176,176,1.0107501999999897,66.0,1947.0,True,10,0.05,5000
177,177,1.0170037000000036,66.0,1958.0,True,10,0.05,5000
178,178,1.0224887999999908,66.0,1969.0,True,10,0.05,5000
179,179,1.0280429999999967,66.0,1980.0,True,10,0.05,5000
180,180,1.0351593000000037,66.0,1991.0,True,10,0.05,5000
181,181,1.0407873000000052,66.0,2002.0,True,10,0.05,5000
182,182,1.0485060999999973,66.0,2013.0,True,10,0.05,5000
183,183,1.058351799999997,66.0,2024.0,True,10,0.05,5000
184,184,1.0652565999999979,66.0,2035.0,True,10,0.05,5000
185,185,1.0705671000000052,66.0,2046.0,True,10,0.05,5000
186,186,1.0763251999999852,66.0,2057.0,True,10,0.05,5000
187,187,1.0820434000000034,66.0,2068.0,True,10,0.05,5000
188,188,1.0872128999999973,66.0,2079.0,True,10,0.05,5000
189,189,1.0926402000000053,66.0,2090.0,True,10,0.05,5000
190,190,1.0978546999999992,66.0,2101.0,True,10,0.05,5000
191,191,1.1029929000000038,66.0,2112.0,True,10,0.05,5000
192,192,1.1084543999999994,66.0,2123.0,True,10,0.05,5000
193,193,1.1139743999999894,66.0,2134.0,True,10,0.05,5000
194,194,1.119825999999989,66.0,2145.0,True,10,0.05,5000
195,195,1.125475999999992,66.0,2156.0,True,10,0.05,5000
196,196,1.1306293000000096,66.0,2167.0,True,10,0.05,5000
197,197,1.135756299999997,66.0,2178.0,True,10,0.05,5000
198,198,1.1416613000000098,66.0,2189.0,True,10,0.05,5000
199,199,1.146823299999994,66.0,2200.0,True,10,0.05,5000
200,200,1.1519522000000109,66.0,2211.0,True,10,0.05,5000
201,201,1.1581243999999913,66.0,2222.0,True,10,0.05,5000
202,0,0.0006711000000052536,0.0,10.0,True,10,0.2,5000
203,1,0.01431039999999939,77.0,22.0,True,10,0.2,5000
204,2,0.019983999999993785,80.0,34.0,True,10,0.2,5000
205,3,0.025772399999993922,80.0,45.0,True,10,0.2,5000
206,4,0.03209879999999998,80.0,56.0,True,10,0.2,5000
207,5,0.03792709999999033,80.0,67.0,True,10,0.2,5000
208,6,0.044338600000003225,80.0,78.0,True,10,0.2,5000
209,7,0.05051399999999262,80.0,89.0,True,10,0.2,5000
210,8,0.05591369999999074,80.0,100.0,True,10,0.2,5000
211,9,0.062145299999997405,80.0,111.0,True,10,0.2,5000
212,10,0.06802769999998759,80.0,122.0,True,10,0.2,5000
213,11,0.0790202000000022,80.0,133.0,True,10,0.2,5000
214,12,0.08429609999998888,80.0,144.0,True,10,0.2,5000
215,13,0.08954860000000053,80.0,155.0,True,10,0.2,5000
216,14,0.09515899999999533,80.0,166.0,True,10,0.2,5000
217,15,0.10035830000001056,80.0,177.0,True,10,0.2,5000
218,16,0.10560509999999113,80.0,188.0,True,10,0.2,5000
219,17,0.11085570000000189,80.0,199.0,True,10,0.2,5000
220,18,0.11616770000000542,80.0,210.0,True,10,0.2,5000
221,19,0.12177199999999289,80.0,221.0,True,10,0.2,5000
222,20,0.1275536999999929,80.0,232.0,True,10,0.2,5000
223,21,0.13279399999998986,80.0,243.0,True,10,0.2,5000
224,22,0.13820309999999836,80.0,254.0,True,10,0.2,5000
225,23,0.1435625000000016,80.0,265.0,True,10,0.2,5000
226,24,0.14887410000000045,80.0,276.0,True,10,0.2,5000
227,25,0.15442809999998985,80.0,287.0,True,10,0.2,5000
228,26,0.15967390000000137,80.0,298.0,True,10,0.2,5000
229,27,0.1649385000000052,80.0,309.0,True,10,0.2,5000
230,28,0.17104599999998982,80.0,320.0,True,10,0.2,5000
231,29,0.17640839999998548,80.0,331.0,True,10,0.2,5000
232,30,0.1817792999999881,80.0,342.0,True,10,0.2,5000
233,31,0.1893758999999875,80.0,353.0,True,10,0.2,5000
234,32,0.19474349999998708,80.0,364.0,True,10,0.2,5000
235,33,0.20003869999999324,80.0,375.0,True,10,0.2,5000
236,34,0.20538339999998811,80.0,386.0,True,10,0.2,5000
237,35,0.21071889999998916,80.0,397.0,True,10,0.2,5000
238,36,0.216464000000002,80.0,408.0,True,10,0.2,5000
239,37,0.22167870000001244,80.0,419.0,True,10,0.2,5000
240,38,0.22684789999999566,80.0,430.0,True,10,0.2,5000
241,39,0.2323030000000017,80.0,441.0,True,10,0.2,5000
242,40,0.2375921999999946,80.0,452.0,True,10,0.2,5000
243,41,0.24294040000000905,80.0,463.0,True,10,0.2,5000
244,42,0.2486705000000029,80.0,474.0,True,10,0.2,5000
245,43,0.2539700000000096,80.0,485.0,True,10,0.2,5000
246,44,0.2593214000000046,80.0,496.0,True,10,0.2,5000
247,45,0.2650288000000103,80.0,507.0,True,10,0.2,5000
248,46,0.2704789999999946,80.0,518.0,True,10,0.2,5000
249,47,0.2758278999999959,80.0,529.0,True,10,0.2,5000
250,48,0.28169439999999213,80.0,540.0,True,10,0.2,5000
251,49,0.28696859999999447,80.0,551.0,True,10,0.2,5000
252,50,0.29255989999998633,80.0,562.0,True,10,0.2,5000
253,51,0.3034817999999859,80.0,573.0,True,10,0.2,5000
254,52,0.30911259999999174,80.0,584.0,True,10,0.2,5000
255,53,0.31460119999999847,80.0,595.0,True,10,0.2,5000
256,54,0.3200358999999935,80.0,606.0,True,10,0.2,5000
257,55,0.3280761000000041,80.0,617.0,True,10,0.2,5000
258,56,0.33457540000000563,80.0,628.0,True,10,0.2,5000
259,57,0.34018409999998767,80.0,639.0,True,10,0.2,5000
260,58,0.34566639999999893,80.0,650.0,True,10,0.2,5000
261,59,0.3512471999999889,80.0,661.0,True,10,0.2,5000
262,60,0.3565654999999879,80.0,672.0,True,10,0.2,5000
263,61,0.3619493999999861,80.0,683.0,True,10,0.2,5000
264,62,0.3673316,80.0,694.0,True,10,0.2,5000
265,63,0.37285760000000323,80.0,705.0,True,10,0.2,5000
266,64,0.37809530000001246,80.0,716.0,True,10,0.2,5000
267,65,0.38334240000000364,80.0,727.0,True,10,0.2,5000
268,66,0.38875329999999053,80.0,738.0,True,10,0.2,5000
269,67,0.3950681999999972,80.0,749.0,True,10,0.2,5000
270,68,0.40081749999998806,80.0,760.0,True,10,0.2,5000
271,69,0.4065757999999846,80.0,771.0,True,10,0.2,5000
272,70,0.41240450000000806,80.0,782.0,True,10,0.2,5000
273,71,0.4184406999999908,80.0,793.0,True,10,0.2,5000
274,72,0.42445240000000695,80.0,804.0,True,10,0.2,5000
275,73,0.4299528999999893,80.0,815.0,True,10,0.2,5000
276,74,0.43524779999998486,80.0,826.0,True,10,0.2,5000
277,75,0.4404888999999912,80.0,837.0,True,10,0.2,5000
278,76,0.4458174000000099,80.0,848.0,True,10,0.2,5000
279,77,0.4522642000000019,80.0,859.0,True,10,0.2,5000
280,78,0.45763809999999694,80.0,870.0,True,10,0.2,5000
281,79,0.4631076999999948,80.0,881.0,True,10,0.2,5000
282,80,0.46859660000001213,80.0,892.0,True,10,0.2,5000
283,81,0.47371469999998794,80.0,903.0,True,10,0.2,5000
284,82,0.47951630000000023,80.0,914.0,True,10,0.2,5000
285,83,0.484871499999997,80.0,925.0,True,10,0.2,5000
286,84,0.49005840000000944,80.0,936.0,True,10,0.2,5000
287,85,0.4962984000000006,80.0,947.0,True,10,0.2,5000
288,86,0.5021583999999848,80.0,958.0,True,10,0.2,5000
289,87,0.5073969999999974,80.0,969.0,True,10,0.2,5000
290,88,0.512991999999997,80.0,980.0,True,10,0.2,5000
291,89,0.5181977000000018,80.0,991.0,True,10,0.2,5000
292,90,0.5233911999999918,80.0,1002.0,True,10,0.2,5000
293,91,0.531446499999987,80.0,1013.0,True,10,0.2,5000
294,92,0.5483586999999943,80.0,1024.0,True,10,0.2,5000
295,93,0.5555685999999866,80.0,1035.0,True,10,0.2,5000
296,94,0.5618012999999848,80.0,1046.0,True,10,0.2,5000
297,95,0.5674784999999929,80.0,1057.0,True,10,0.2,5000
298,96,0.5731930999999975,80.0,1068.0,True,10,0.2,5000
299,97,0.5787932000000069,80.0,1079.0,True,10,0.2,5000
300,98,0.5839070000000106,80.0,1090.0,True,10,0.2,5000
301,99,0.5890047000000038,80.0,1101.0,True,10,0.2,5000
302,100,0.5947615000000042,80.0,1112.0,True,10,0.2,5000
303,101,0.6001760000000047,80.0,1123.0,True,10,0.2,5000
304,102,0.6061684999999954,80.0,1134.0,True,10,0.2,5000
305,103,0.6114728999999954,80.0,1145.0,True,10,0.2,5000
306,104,0.6165469999999971,80.0,1156.0,True,10,0.2,5000
307,105,0.6220250000000078,80.0,1167.0,True,10,0.2,5000
308,106,0.6272222000000056,80.0,1178.0,True,10,0.2,5000
309,107,0.6323605999999984,80.0,1189.0,True,10,0.2,5000
310,108,0.6376325999999892,80.0,1200.0,True,10,0.2,5000
311,109,0.6427820000000111,80.0,1211.0,True,10,0.2,5000
312,110,0.6478885999999875,80.0,1222.0,True,10,0.2,5000
313,111,0.6535684000000117,80.0,1233.0,True,10,0.2,5000
314,112,0.6587139000000093,80.0,1244.0,True,10,0.2,5000
315,113,0.6638389999999958,80.0,1255.0,True,10,0.2,5000
316,114,0.6691998999999953,80.0,1266.0,True,10,0.2,5000
317,115,0.6743410999999924,80.0,1277.0,True,10,0.2,5000
318,116,0.6793959000000029,80.0,1288.0,True,10,0.2,5000
319,117,0.684927899999991,80.0,1299.0,True,10,0.2,5000
320,118,0.6899773000000096,80.0,1310.0,True,10,0.2,5000
321,119,0.6949593999999877,80.0,1321.0,True,10,0.2,5000
322,120,0.7000209999999925,80.0,1332.0,True,10,0.2,5000
323,121,0.705003099999999,80.0,1343.0,True,10,0.2,5000
324,122,0.7099722000000099,80.0,1354.0,True,10,0.2,5000
325,123,0.7155493999999862,80.0,1365.0,True,10,0.2,5000
326,124,0.7205658000000028,80.0,1376.0,True,10,0.2,5000
327,125,0.7255463999999847,80.0,1387.0,True,10,0.2,5000
328,126,0.7305996999999991,80.0,1398.0,True,10,0.2,5000
329,127,0.7356505999999854,80.0,1409.0,True,10,0.2,5000
330,128,0.7406311999999957,80.0,1420.0,True,10,0.2,5000
331,129,0.7457015999999896,80.0,1431.0,True,10,0.2,5000
332,130,0.7508759000000111,80.0,1442.0,True,10,0.2,5000
333,131,0.7558720000000108,80.0,1453.0,True,10,0.2,5000
334,132,0.7608634999999992,80.0,1464.0,True,10,0.2,5000
335,133,0.7666460000000086,80.0,1475.0,True,10,0.2,5000
336,134,0.7716364999999996,80.0,1486.0,True,10,0.2,5000
337,135,0.7766235999999935,80.0,1497.0,True,10,0.2,5000
338,136,0.7817777999999862,80.0,1508.0,True,10,0.2,5000
339,137,0.7867822999999987,80.0,1519.0,True,10,0.2,5000
340,138,0.7917670999999871,80.0,1530.0,True,10,0.2,5000
341,139,0.7987251000000128,80.0,1541.0,True,10,0.2,5000
342,140,0.8044901000000095,80.0,1552.0,True,10,0.2,5000
343,141,0.8105756999999869,80.0,1563.0,True,10,0.2,5000
344,142,0.8158582000000081,80.0,1574.0,True,10,0.2,5000
345,143,0.8209493999999893,80.0,1585.0,True,10,0.2,5000
346,144,0.8263795999999957,80.0,1596.0,True,10,0.2,5000
347,145,0.8314801999999872,80.0,1607.0,True,10,0.2,5000
348,146,0.836534400000005,80.0,1618.0,True,10,0.2,5000
349,147,0.8418000000000063,80.0,1629.0,True,10,0.2,5000
350,148,0.8472247999999922,80.0,1640.0,True,10,0.2,5000
351,149,0.8523568999999895,80.0,1651.0,True,10,0.2,5000
352,150,0.8577915999999846,80.0,1662.0,True,10,0.2,5000
353,151,0.8629285000000095,80.0,1673.0,True,10,0.2,5000
354,152,0.8680281000000036,80.0,1684.0,True,10,0.2,5000
355,153,0.8734177999999986,80.0,1695.0,True,10,0.2,5000
356,154,0.8785273000000018,80.0,1706.0,True,10,0.2,5000
357,155,0.8836488999999972,80.0,1717.0,True,10,0.2,5000
358,156,0.8893648000000098,80.0,1728.0,True,10,0.2,5000
359,157,0.8946316999999908,80.0,1739.0,True,10,0.2,5000
360,158,0.8997105999999917,80.0,1750.0,True,10,0.2,5000
361,159,0.9052728000000059,80.0,1761.0,True,10,0.2,5000
362,160,0.9104776000000072,80.0,1772.0,True,10,0.2,5000
363,161,0.9155034999999998,80.0,1783.0,True,10,0.2,5000
364,162,0.9211625000000083,80.0,1794.0,True,10,0.2,5000
365,163,0.9266173999999978,80.0,1805.0,True,10,0.2,5000
366,164,0.9316177999999979,80.0,1816.0,True,10,0.2,5000
367,165,0.9369887999999946,80.0,1827.0,True,10,0.2,5000
368,166,0.9420675000000074,80.0,1838.0,True,10,0.2,5000
369,167,0.947143699999998,80.0,1849.0,True,10,0.2,5000
370,168,0.9524558999999897,80.0,1860.0,True,10,0.2,5000
371,169,0.9574982000000034,80.0,1871.0,True,10,0.2,5000
372,170,0.9625490999999897,80.0,1882.0,True,10,0.2,5000
373,171,0.9688054000000079,80.0,1893.0,True,10,0.2,5000
374,172,0.9785693999999978,80.0,1904.0,True,10,0.2,5000
375,173,0.9854575999999895,80.0,1915.0,True,10,0.2,5000
376,174,0.9909983000000011,80.0,1926.0,True,10,0.2,5000
377,175,1.0002086000000077,80.0,1937.0,True,10,0.2,5000
378,176,1.0107501999999897,80.0,1948.0,True,10,0.2,5000
379,177,1.0170037000000036,80.0,1959.0,True,10,0.2,5000
380,178,1.0224887999999908,80.0,1970.0,True,10,0.2,5000
381,179,1.0280429999999967,80.0,1981.0,True,10,0.2,5000
382,180,1.0351593000000037,80.0,1992.0,True,10,0.2,5000
383,181,1.0407873000000052,80.0,2003.0,True,10,0.2,5000
384,182,1.0485060999999973,80.0,2014.0,True,10,0.2,5000
385,183,1.058351799999997,80.0,2025.0,True,10,0.2,5000
386,184,1.0652565999999979,80.0,2036.0,True,10,0.2,5000
387,185,1.0705671000000052,80.0,2047.0,True,10,0.2,5000
388,186,1.0763251999999852,80.0,2058.0,True,10,0.2,5000
389,187,1.0820434000000034,80.0,2069.0,True,10,0.2,5000
390,188,1.0872128999999973,80.0,2080.0,True,10,0.2,5000
391,189,1.0926402000000053,80.0,2091.0,True,10,0.2,5000
392,190,1.0978546999999992,80.0,2102.0,True,10,0.2,5000
393,191,1.1029929000000038,80.0,2113.0,True,10,0.2,5000
394,192,1.1084543999999994,80.0,2124.0,True,10,0.2,5000
395,193,1.1139743999999894,80.0,2135.0,True,10,0.2,5000
396,194,1.119825999999989,80.0,2146.0,True,10,0.2,5000
397,195,1.125475999999992,80.0,2157.0,True,10,0.2,5000
398,196,1.1306293000000096,80.0,2168.0,True,10,0.2,5000
399,197,1.135756299999997,80.0,2179.0,True,10,0.2,5000
400,198,1.1416613000000098,80.0,2190.0,True,10,0.2,5000
401,199,1.146823299999994,80.0,2201.0,True,10,0.2,5000
402,200,1.1519522000000109,80.0,2212.0,True,10,0.2,5000
403,201,1.1581243999999913,80.0,2223.0,True,10,0.2,5000
404,202,0.00038440000000150576,80.0,2234.0,True,10,0.2,5000
405,0,0.0006711000000052536,0.0,10.0,True,10,0.5,5000
406,1,0.01431039999999939,69.0,22.0,True,10,0.5,5000
407,2,0.019983999999993785,69.0,33.0,True,10,0.5,5000
408,3,0.025772399999993922,69.0,44.0,True,10,0.5,5000
409,4,0.03209879999999998,69.0,55.0,True,10,0.5,5000
410,5,0.03792709999999033,69.0,66.0,True,10,0.5,5000
411,6,0.044338600000003225,69.0,77.0,True,10,0.5,5000
412,7,0.05051399999999262,69.0,88.0,True,10,0.5,5000
413,8,0.05591369999999074,69.0,99.0,True,10,0.5,5000
414,9,0.062145299999997405,69.0,110.0,True,10,0.5,5000
415,10,0.06802769999998759,69.0,121.0,True,10,0.5,5000
